source,attack,target,asr,fooling_rate,same_mistake_rate
VGG,FGSM,VGG,90.19209039548022,100.0,100.0
VGG,PGD,VGG,89.89830508474576,100.0,100.0
VGG,CW,VGG,90.23728813559322,100.0,100.0
VGG,AutoAttack,VGG,90.32768361581921,100.0,100.0
VGG,DeepFool,VGG,90.16949152542372,100.0,100.0
VGG,OnePixel,VGG,90.18079096045197,100.0,100.0
VGG,FGSM,VGG_AA,89.83263121940112,88.81232773740918,39.41750131787032
VGG,PGD,VGG_AA,89.86678811340089,90.69884364002012,54.447226248517595
VGG,CW,VGG_AA,90.09450074006604,93.9519158527423,87.59526938239159
VGG,AutoAttack,VGG_AA,89.84401685073438,91.89392044033025,69.49420442571127
VGG,DeepFool,VGG_AA,90.08311510873278,94.23558897243107,89.89088996976469
VGG,OnePixel,VGG_AA,90.1286576340658,94.27390051372008,89.526938239159
VGG,FGSM,VGG_CW,89.9774011299435,92.33274868454022,64.12233694941838
VGG,PGD,VGG_CW,90.0225988700565,94.89693313222725,87.92383933229004
VGG,CW,VGG_CW,90.16949152542372,94.95366892061107,89.02502606882169
VGG,AutoAttack,VGG_CW,90.37288135593221,94.92119089316988,87.65432098765432
VGG,DeepFool,VGG_CW,90.22598870056497,95.25062656641605,90.5940594059406
VGG,OnePixel,VGG_CW,90.22598870056497,95.18857286054379,90.35030602943091
VGG,FGSM,ResNet,90.00537923614847,90.94211976948134,40.83580549464723
VGG,PGD,ResNet,89.87627756858527,90.0201106083459,30.840520015446003
VGG,CW,ResNet,90.15599784830555,94.99123466065615,80.00257532835437
VGG,AutoAttack,ResNet,90.02689618074234,90.0925694270703,33.04191308819748
VGG,DeepFool,ResNet,90.10220548682088,95.40100250626567,84.49053201082056
VGG,OnePixel,ResNet,90.03765465303927,95.84012028567848,87.24062379172574
VGG,FGSM,ResNet_AA,90.2417868372547,89.02530694061639,30.1651280717722
VGG,PGD,ResNet_AA,90.14420470562723,87.40573152337858,13.651123522535395
VGG,CW,ResNet_AA,90.28515667353356,94.56548960681192,82.55738555310596
VGG,AutoAttack,ResNet_AA,89.77556109725685,90.33024768576432,45.484165254789524
VGG,DeepFool,ResNet_AA,90.13336224655752,94.87468671679198,86.5696843745941
VGG,OnePixel,ResNet_AA,90.14420470562723,94.91291818067911,86.07792207792208
VGG,FGSM,ResNet_CW,89.95581420411682,90.40340766725132,37.81403781403782
VGG,PGD,ResNet_CW,89.84804397025542,88.95173453996983,25.62143966856551
VGG,CW,ResNet_CW,89.95581420411682,94.62809917355372,81.81111542945978
VGG,AutoAttack,ResNet_CW,90.13902360168122,90.4053039779835,37.97157622739018
VGG,DeepFool,ResNet_CW,90.07436146136438,95.18796992481202,85.98965071151359
VGG,OnePixel,ResNet_CW,89.9773682508891,95.32640020047613,86.31892311674864
ResNet,FGSM,VGG,90.19209039548022,86.76786994979679,40.79371215049607
