source,attack,target,asr,fooling_rate,same_mistake_rate
VGG,FGSM,VGG,90.31638418079096,100.0,100.0
VGG,PGD,VGG,90.11299435028249,100.0,100.0
VGG,CW,VGG,90.19209039548022,100.0,100.0
VGG,AutoAttack,VGG,90.32768361581921,100.0,100.0
VGG,DeepFool,VGG,90.16949152542372,100.0,100.0
VGG,OnePixel,VGG,90.12429378531074,100.0,100.0
VGG,FGSM,VGG_AA,89.98064442673346,90.86700863255348,59.43421052631579
VGG,PGD,VGG_AA,89.84401685073438,89.73040752351098,51.00830367734282
VGG,CW,VGG_AA,90.14004326539907,93.83613129541469,86.16839616445553
VGG,AutoAttack,VGG_AA,90.00341568939997,91.99399549662246,69.99473822678243
VGG,DeepFool,VGG_AA,90.08311510873278,94.23558897243107,89.91718154331537
VGG,OnePixel,VGG_AA,90.09450074006604,94.18254764292878,89.0918648968327
VGG,FGSM,VGG_CW,90.01129943502825,92.90629300638058,71.59848385831917
VGG,PGD,VGG_CW,89.954802259887,93.07836990595611,75.05230125523012
VGG,CW,VGG_CW,90.22598870056497,94.85091455775495,87.69210731961448
VGG,AutoAttack,VGG_CW,89.954802259887,93.72029021766325,80.83660130718954
VGG,DeepFool,VGG_CW,90.23728813559322,95.26315789473684,90.5692327732187
VGG,OnePixel,VGG_CW,90.20338983050847,95.23570712136409,90.39864512767066
VGG,FGSM,ResNet,89.99462076385153,92.61854122357063,57.59061008641816
VGG,PGD,ResNet,89.68262506724045,91.52351097178683,52.321058091286304
VGG,CW,ResNet,90.09144701452394,95.30192934101728,83.63612936477259
VGG,AutoAttack,ResNet,89.97310381925766,93.7453089817363,70.43107898812596
VGG,DeepFool,ResNet,90.0161377084454,95.91478696741855,88.2959525650941
VGG,OnePixel,ResNet,90.03765465303927,95.8876629889669,87.78035576179428
VGG,FGSM,ResNet_AA,90.32852650981242,91.35493556862255,50.259268861809694
VGG,PGD,ResNet_AA,90.16588962376667,89.44200626959248,34.73520249221184
VGG,CW,ResNet_AA,90.14420470562723,94.41242796291657,82.55164349746654
VGG,AutoAttack,ResNet_AA,90.22010191911525,92.43182386790093,63.24941603944978
VGG,DeepFool,ResNet_AA,90.2417868372547,95.0501253132832,87.19346049046321
VGG,OnePixel,ResNet_AA,90.04662257399978,94.88465396188566,86.78459937565036
VGG,FGSM,ResNet_CW,90.1066925315228,91.99299386963592,52.88797002196666
VGG,PGD,ResNet_CW,90.22523978877034,90.69592476489028,42.75006461617989
VGG,CW,ResNet_CW,90.07436146136438,94.77574542721122,82.15209518882565
VGG,AutoAttack,ResNet_CW,89.94503718073068,92.76957718288716,65.63026298743361
VGG,DeepFool,ResNet_CW,90.09591550813666,95.38847117794487,87.23816912335144
VGG,OnePixel,ResNet_CW,89.98814527427524,95.28585757271816,86.48018648018648
ResNet,FGSM,VGG,90.07909604519774,87.23251643753736,46.756094415065135
ResNet,PGD,VGG,90.12429378531074,85.60488213473735,29.78201986327873
ResNet,CW,VGG,90.19209039548022,90.29832935560859,77.21062129414797
ResNet,AutoAttack,VGG,90.045197740113,87.25185362353504,47.04210798243348
ResNet,DeepFool,VGG,90.0677966101695,90.89063992359121,85.03225806451613
ResNet,OnePixel,VGG,90.0225988700565,91.24567060790636,87.18213502000775
ResNet,FGSM,VGG_AA,90.19697142206536,85.833831440526,35.684647302904565
ResNet,PGD,VGG_AA,90.1286576340658,84.28862031829604,19.36907698299364
ResNet,CW,VGG_AA,90.17420015939884,89.60620525059666,75.67813108371188
ResNet,AutoAttack,VGG_AA,90.14004326539907,86.30710356374072,40.8955223880597
ResNet,DeepFool,VGG_AA,90.07172947739951,90.1981852913085,84.48544698544698
ResNet,OnePixel,VGG_AA,90.14004326539907,90.63656992714678,86.89950662165671
ResNet,FGSM,VGG_CW,90.0225988700565,86.68260609683203,44.30232558139535
ResNet,PGD,VGG_CW,90.0677966101695,85.07837740816082,27.18935675536037
ResNet,CW,VGG_CW,90.12429378531074,90.09546539379475,76.69765040020656
ResNet,AutoAttack,VGG_CW,90.05649717514125,86.74958143984692,44.62532299741602
ResNet,DeepFool,VGG_CW,90.21468926553672,90.84288443170965,84.67689926480072
ResNet,OnePixel,VGG_CW,90.19209039548022,91.24567060790636,87.22910216718266
ResNet,FGSM,ResNet,89.99462076385153,100.0,100.0
ResNet,PGD,ResNet,89.90855298547606,100.0,100.0
ResNet,CW,ResNet,90.15599784830555,100.0,100.0
ResNet,AutoAttack,ResNet,89.96234534696073,100.0,100.0
ResNet,DeepFool,ResNet,90.1129639591178,100.0,100.0
ResNet,OnePixel,ResNet,90.08068854222701,100.0,100.0
ResNet,FGSM,ResNet_AA,90.16588962376667,91.09384339509863,50.58969584109249
ResNet,PGD,ResNet_AA,90.02493765586036,89.60153165011367,39.32835820895522
ResNet,CW,ResNet_AA,90.14420470562723,94.17661097852029,80.82225810458328
ResNet,AutoAttack,ResNet_AA,89.94904044237234,91.07868930877781,53.582980841005224
ResNet,DeepFool,ResNet_AA,90.13336224655752,94.62750716332378,87.82457448130202
ResNet,OnePixel,ResNet_AA,90.02493765586036,95.09136510211394,90.65804204503047
ResNet,FGSM,ResNet_CW,90.06358443797824,92.1219366407651,55.951056729699665
ResNet,PGD,ResNet_CW,90.08513848475052,91.74344860595907,53.31686226065472
ResNet,CW,ResNet_CW,90.11746955490894,94.55847255369929,81.25308947108255
ResNet,AutoAttack,ResNet_CW,90.20368574199806,92.71705333652237,62.7143738433066
ResNet,DeepFool,ResNet_CW,90.0528074145921,95.05730659025788,88.20183032401683
ResNet,OnePixel,ResNet_CW,90.08513848475052,95.50937537322346,90.49326245518606
